class,n_train,n_test,cnn_f1,cnn_f1_ci_lower,cnn_f1_ci_upper,vit_f1,vit_f1_ci_lower,vit_f1_ci_upper,f1_diff,cnn_recall,vit_recall,cnn_precision,vit_precision,is_rare
Chirp,11,7,0.4705882352941176,0.125,0.7272727272727274,0.0,0.0,0.0,-0.4705882352941176,0.5714285714285714,0.0,0.4,0.0,True
Wandering_Line,30,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Helix,33,14,0.0493827160493827,0.0117647058823529,0.10062893081761,0.1052631578947368,0.0,0.3157894736842105,0.055880441845354095,0.2857142857142857,0.0714285714285714,0.027027027027027,0.2,True
Light_Modulation,142,66,0.691358024691358,0.6063749194068344,0.7682926829268293,0.859375,0.7884615384615384,0.9172932330827068,0.168016975308642,0.8484848484848485,0.8333333333333334,0.5833333333333334,0.8870967741935484,True
Paired_Doves,216,64,0.098744769874477,0.0762062013628482,0.1228373702422145,0.6126126126126127,0.4950495049504951,0.7131782945736433,0.5138678427381357,0.921875,0.53125,0.0521662245800176,0.723404255319149,False
Violin_Mode,274,397,0.6830015313935682,0.6403614226040032,0.7237053362719561,0.5441941074523398,0.4936479128856624,0.5920826161790017,-0.13880742394122847,0.5617128463476071,0.3954659949622166,0.87109375,0.8722222222222222,False
1080Lines,341,6,1.0,1.0,1.0,0.7058823529411764,0.375,0.923076923076923,-0.2941176470588236,1.0,1.0,1.0,0.5454545454545454,False
Scratchy,558,76,0.5034013605442176,0.3999999999999999,0.5986394557823129,0.875,0.8120300751879699,0.929034798069596,0.3715986394557824,0.4868421052631579,0.8289473684210527,0.5211267605633803,0.9264705882352942,False
Repeating_Blips,1061,347,0.7702182284980744,0.7367021276595744,0.8021259136894158,0.8353658536585366,0.8028531679113466,0.8641975308641975,0.06514762516046213,0.8645533141210374,0.7896253602305475,0.6944444444444444,0.8867313915857605,False
Air_Compressor,1361,47,0.1538461538461538,0.0533157894736843,0.2574257425742574,0.4742268041237113,0.3434343434343435,0.592,0.3203806502775575,0.1489361702127659,0.4893617021276595,0.1590909090909091,0.46,False
Power_Line,1582,56,0.2352941176470588,0.1308411214953271,0.3356643356643357,0.7419354838709677,0.6478806170355466,0.8225806451612904,0.506641366223909,0.25,0.8214285714285714,0.2222222222222222,0.6764705882352942,False
1400Ripples,2428,33,0.7999999999999999,0.6933333333333334,0.888888888888889,0.8051948051948052,0.6909090909090908,0.891566265060241,0.0051948051948053076,0.9696969696969696,0.9393939393939394,0.6808510638297872,0.7045454545454546,False
Low_Frequency_Lines,2853,1743,0.701435213260562,0.686893793734961,0.7157940059396699,0.6153846153846154,0.6002123361120302,0.6300557880055788,-0.0860505978759466,0.995410212277682,0.9982788296041308,0.5415106117353309,0.4447852760736196,False
Whistle,6299,3689,0.9627567925778662,0.9583605780354788,0.9670591427777612,0.9634374165999466,0.9589076504597684,0.9677336847984296,0.0006806240220804671,0.9845486581729466,0.9785849823800488,0.941908713692946,0.9487516425755584,False
Blip,7156,2105,0.9492682926829268,0.9421691684864564,0.9558471344319244,0.9770848098275456,0.9723282442748092,0.9815040448865144,0.027816517144618857,0.9244655581947744,0.9824228028503564,0.975438596491228,0.9718045112781954,False
No_Glitch,11568,402,0.9363867684478372,0.9182684748427672,0.953247360116519,0.9376498800959232,0.920096852300242,0.9539558645619252,0.0012631116480860127,0.9154228855721394,0.972636815920398,0.9583333333333334,0.9050925925925926,False
Koi_Fish,11950,2503,0.9565040650406504,0.9506196872949644,0.9622047952614202,0.9603646452635752,0.9546633709526708,0.96572000025914,0.003860580222924792,0.9400719137035556,0.9680383539752296,0.9735208936698386,0.9528116397955172,False
Extremely_Loud,13469,3317,0.9858518964479228,0.9829509379863516,0.9885792971978384,0.9850564196401342,0.9820452287903944,0.9878593217845476,-0.0007954768077885754,0.9873379559843232,0.9737714802532408,0.984370303576796,0.9966059858068498,False
Blip_Low_Frequency,13659,2763,0.9381939304219096,0.93136682140393,0.9447086308824344,0.9633507853403142,0.9580882352941176,0.9682278835484334,0.02515685491840458,0.9174809989142236,0.9656170828809264,0.9598636879969707,0.9610951008645532,False
Low_Frequency_Burst,19834,2397,0.9914884783059996,0.988802501252648,0.993917383308829,0.9832945654472404,0.9794608472400514,0.9868229026338764,-0.008193912858759256,0.9962453066332916,0.9699624530663328,0.9867768595041322,0.9969982847341338,False
Tomte,30403,5651,0.9630025853615048,0.9594022527307976,0.966551546111328,0.9827013803948978,0.9802403328475696,0.985020118930734,0.019698795033393002,0.9557600424703592,0.9952220845867988,0.9703557312252964,0.9704918032786886,False
Fast_Scattering,34555,18998,0.957280385078219,0.9551633724997404,0.9593883668618672,0.983805345033905,0.982535417932324,0.9850683045642274,0.026524959955686045,0.9212022318138752,0.9736814401515947,0.9962996698166914,0.9941419895738164,False
Scattered_Light,68160,4158,0.8108698620783832,0.8009213056016532,0.8207472382315477,0.7186883254896006,0.7063308170030647,0.7306712823176705,-0.09218153658878259,0.714045214045214,0.5692640692640693,0.9380726698262244,0.9744750926307122,False
MACRO_ALL,,,0.6786466698931387,0.6598085670240804,0.6943544243952565,0.723037755055069,0.7030906642773047,0.7396666656510605,0.044391085161930244,,,,,False
MACRO_RARE,,,0.30283224400871456,0.20845926272007173,0.3751079622132253,0.2411595394736842,0.20192087155963306,0.295733153907496,-0.06167270453503035,,,,,True
MACRO_COMMON,,,0.8074931179796714,,,0.861836075691048,,,0.05434295771137665,,,,,False
